step   ball_X    ball_Y    side
211     -500    1564        f
212     -516    1581        f
213     -530    1597        f
214     -544    1612        f
215     -558    1627        f
216     -570    1641        f
217     -582    1654        f
218     -594    1667        f
219     -605    1679        f
220     -616    1691        f
221     -626    1702        f
222     -636    1712        f
223     -645    1722        f
224     -654    1732        f
225     -662    1741        f
226     -670    1750        f
227     -678    1757        f
228     -685    1767        f
229     -692    1773        f
230     -699    1782        f
231     -699    1782        r
232     -699    1782        r
233     -699    1782        f
234     -752    1727        f
235     -802    1673        f
236     -852    1623        f
237     -898    1577        f
238     -943    1531        f
239     -985    1488        f
240     -1025    1446        f
241     -1064    1406        f
242     -1101    1369        f
243     -1136    1332        f
244     -1170    1298        f
245     -1202    1265        f
246     -1232    1233        f
247     -1262    1203        f
248     -1290    1174        f
249     -1316    1147        f
250     -1342    1121        f
251     -1366    1095        f
252     -1389    1071        f
253     -1411    1049        f
254     -1433    1027        f
255     -1453    1006        f
256     -1472    986        f
257     -1491    967        f
258     -1508    949        f
259     -1525    931        f
260     -1541    915        f
261     -1557    899        f
262     -1571    884        f
263     -1585    869        f
264     -1599    856        f
265     -1612    842        f
266     -1623    830        f
267     -1635    818        f
268     -1647    806        f
269     -1657    795        f
270     -1667    785        f
271     -1677    775        f
272     -1686    765        f
273     -1695    756        f
274     -1704    748        f
275     -1712    739        f
276     -1719    731        f
277     -1727    724        f
278     -1727    724        l
279     -1727    724        l
280     -1727    724        f
281     -1600    805        f
282     -1480    882        f
283     -1365    957        f
284     -1255    1027        f
285     -1150    1095        f
286     -1050    1159        f
287     -955    1221        f
288     -863    1280        f
289     -776    1336        f
290     -693    1389        f
291     -614    1441        f
292     -538    1489        f
293     -465    1536        f
294     -396    1581        f
295     -330    1623        f
296     -267    1664        f
297     -206    1703        f
298     -206    1703        l
299     -206    1703        f
300     -146    1627        f
301     -87    1554        f
302     -31    1485        f
303     21    1419        f
304     72    1356        f
305     121    1296        f
306     167    1238        f
307     212    1184        f
308     254    1131        f
309     294    1081        f
310     333    1033        f
311     370    988        f
312     405    944        f
313     438    902        f
314     471    861        f
315     501    824        f
316     531    788        f
317     559    753        f
318     585    720        f
319     611    689        f
320     635    658        f
321     659    629        f
322     681    602        f
323     702    575        f
324     722    550        f
325     742    526        f
326     760    503        f
327     778    480        f
328     794    459        f
329     811    440        f
330     826    421        f
331     841    403        f
332     855    386        f
333     868    369        f
334     881    353        f
335     893    338        f
336     903    323        f
337     916    310        f
338     926    296        f
339     936    284        f
340     946    272        f
341     955    260        f
342     964    249        f
343     973    239        f
344     981    229        f
345     988    219        f
346     996    210        f
347     1002    200        f
348     1009    193        f
349     1016    185        f
350     1022    177        f
351     1028    170        f
352     1033    163        f
353     1039    156        f
354     1044    150        f
355     1049    144        f
356     1053    138        f
357     1058    133        f
358     1062    127        f
359     1066    122        f
360     1070    117        f
361     1073    112        f
362     1077    109        f
363     1080    104        f
364     1083    100        f
365     1087    97        f
366     1089    93        f
367     1092    89        f
368     1092    89        l
369     1092    89        l
370     1092    89        l
371     1092    89        f
372     1165    67        f
373     1235    46        f
374     1302    26        f
375     1366    7        f
376     1427    -11        f
377     1485    -28        f
378     1541    -45        f
379     1594    -61        f
380     1644    -76        f
381     1692    -91        f
382     1738    -105        f
383     1782    -118        f
384     1823    -131        f
385     1864    -143        f
386     1903    -155        f
387     1939    -166        f
388     1975    -177        f
389     2007    -187        f
390     2039    -196        f
391     2070    -206        f
392     2099    -214        f
393     2127    -223        f
394     2153    -231        f
395     2179    -239        f
396     2203    -246        f
397     2226    -252        f
398     2248    -260        f
399     2269    -266        f
400     2289    -272        f
401     2308    -278        f
402     2326    -284        f
403     2344    -289        f
404     2360    -294        f
405     2376    -299        f
