step   ball_X    ball_Y    side
25     0    0        f
26     0    0        f
27     0    0        f
28     0    0        f
29     0    0        f
30     0    0        f
31     0    0        f
32     0    0        f
33     0    0        f
34     0    0        f
35     0    0        f
36     0    0        f
37     0    0        f
38     0    0        f
39     0    0        f
40     0    0        f
41     0    0        f
42     0    0        f
43     0    0        f
44     0    0        f
45     0    0        f
46     0    0        f
47     0    0        f
48     0    0        f
49     0    0        f
50     0    0        f
51     0    0        f
52     0    0        f
53     0    0        f
54     0    0        f
55     0    0        f
56     0    0        f
57     0    0        f
58     0    0        f
59     0    0        f
60     0    0        f
61     0    0        f
62     0    0        f
63     0    0        f
64     0    0        f
65     0    0        f
66     0    0        f
67     0    0        f
68     0    0        f
69     0    0        f
70     0    0        f
71     0    0        f
72     0    0        f
73     0    0        f
74     0    0        f
75     0    0        f
76     0    0        f
77     0    0        f
78     0    0        f
79     0    0        f
80     0    0        f
81     0    0        f
82     0    0        f
83     0    0        f
84     0    0        f
85     0    0        f
86     0    0        f
87     0    0        f
88     0    0        f
89     0    0        f
90     0    0        f
91     0    0        f
92     0    0        f
93     0    0        f
94     0    0        f
95     0    0        f
96     0    0        f
97     0    0        f
98     0    0        f
99     0    0        f
100     0    0        f
101     0    0        f
102     0    0        f
103     0    0        f
104     0    0        f
105     0    0        l
106     0    0        l
107     0    0        l
108     0    0        l
109     0    0        l
110     0    0        f
111     74    -16        f
112     146    -31        f
113     214    -46        f
114     279    -60        f
115     341    -73        f
116     341    -73        r
117     341    -73        r
118     341    -73        f
119     266    -87        f
120     194    -100        f
121     125    -112        f
122     59    -124        f
123     59    -124        l
124     59    -124        f
125     136    -117        f
126     208    -110        f
127     208    -110        r
128     208    -110        r
129     208    -110        f
130     137    -82        f
131     70    -54        f
132     5    -28        f
133     5    -28        l
134     5    -28        l
135     5    -28        f
136     69    107        f
137     130    236        f
138     189    360        f
139     245    476        f
140     298    590        f
141     349    698        f
142     398    800        f
143     444    898        f
144     488    992        f
145     531    1081        f
146     572    1167        f
147     610    1248        f
148     647    1326        f
149     682    1400        f
150     716    1471        f
151     748    1539        f
152     779    1604        f
153     808    1666        f
154     836    1725        f
155     863    1780        f
156     888    1835        f
157     911    1886        f
158     936    1935        f
159     958    1982        f
160     978    2027        f
161     999    2070        f
162     1019    2111        f
163     1037    2150        f
164     1055    2187        f
165     1072    2223        f
166     1088    2257        f
167     1103    2289        f
168     1118    2320        f
169     1118    2320        l
170     1118    2320        l
171     1118    2320        f
172     1185    2284        f
173     1249    2249        f
174     1311    2216        f
175     1370    2184        f
176     1426    2154        f
177     1479    2125        f
178     1531    2098        f
179     1579    2071        f
180     1626    2046        f
181     1671    2022        f
182     1713    1998        f
183     1754    1977        f
184     1793    1957        f
185     1830    1937        f
186     1864    1918        f
187     1898    1898        f
188     1930    1882        f
189     1962    1866        f
190     1992    1850        f
191     2020    1835        f
192     2047    1820        f
193     2072    1805        f
194     2097    1793        f
195     2120    1780        f
196     2142    1769        f
197     2164    1757        f
198     2184    1746        f
199     2203    1736        f
200     2222    1726        f
201     2240    1716        f
202     2257    1707        f
203     2273    1698        f
204     2288    1689        f
205     2303    1682        f
206     2317    1675        f
207     2330    1667        f
208     2343    1660        f
209     2356    1654        f
210     2367    1647        f
211     2379    1641        f
212     2389    1636        f
213     2399    1630        f
214     2409    1625        f
215     2418    1620        f
216     2427    1614        f
217     2436    1611        f
218     2444    1605        f
219     2452    1602        f
220     2459    1598        f
221     2466    1594        f
222     2473    1591        f
223     2479    1587        f
224     2485    1584        f
225     2491    1581        f
226     2497    1578        f
227     2502    1575        f
228     2507    1572        f
229     2512    1570        f
230     2517    1567        f
231     2521    1565        f
232     2525    1562        f
233     2529    1560        f
234     2533    1558        f
235     2537    1556        f
236     2541    1554        f
237     2544    1552        f
238     2547    1551        f
239     2550    1549        f
240     2553    1547        f
241     2556    1546        f
242     2559    1544        f
243     2561    1543        f
244     2564    1542        f
245     2566    1540        f
246     2568    1539        f
247     2570    1538        f
248     2572    1537        f
249     2574    1536        f
250     2576    1535        f
251     2578    1534        f
252     2578    1534        l
253     2578    1534        l
254     2578    1534        f
255     2704    1452        f
256     2824    1374        f
257     2938    1299        f
258     3048    1228        f
259     3153    1160        f
260     3253    1095        f
261     3347    1033        f
262     3439    974        f
263     3526    917        f
264     3610    863        f
265     3689    811        f
266     3765    762        f
267     3836    715        f
268     3906    670        f
269     3972    627        f
270     4035    586        f
271     4096    547        f
272     4153    509        f
273     4208    474        f
274     4260    440        f
275     4310    407        f
276     4310    407        r
277     4310    407        f
278     4198    308        f
279     4090    213        f
280     3986    123        f
281     3889    37        f
282     3795    -45        f
283     3704    -123        f
284     3619    -198        f
285     3536    -270        f
286     3459    -339        f
287     3385    -404        f
288     3314    -467        f
289     3246    -526        f
290     3181    -584        f
291     3119    -638        f
292     3059    -690        f
293     3003    -740        f
294     2949    -788        f
295     2897    -833        f
296     2848    -876        f
297     2801    -918        f
298     2756    -957        f
299     2713    -994        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
300     0    0        f
301     0    0        f
302     0    0        f
303     0    0        f
304     0    0        f
305     0    0        f
306     0    0        f
307     0    0        f
308     0    0        f
309     0    0        f
310     0    0        f
311     0    0        f
312     0    0        f
313     0    0        f
314     0    0        f
315     0    0        f
316     0    0        f
317     0    0        f
318     0    0        f
319     0    0        f
320     0    0        f
321     0    0        f
322     0    0        f
323     0    0        f
324     0    0        f
325     0    0        f
326     0    0        f
327     0    0        f
328     0    0        f
329     0    0        f
330     0    0        f
331     0    0        f
332     0    0        f
333     0    0        f
334     0    0        f
335     0    0        f
336     0    0        f
337     0    0        f
338     0    0        f
339     0    0        f
340     0    0        f
341     0    0        f
342     0    0        f
343     0    0        f
344     0    0        f
345     0    0        f
346     0    0        f
347     0    0        f
348     0    0        f
349     0    0        f
350     0    0        f
351     0    0        f
352     0    0        f
353     0    0        f
354     0    0        f
355     0    0        f
356     0    0        f
357     0    0        f
358     0    0        f
359     0    0        f
360     0    0        f
361     0    0        f
362     0    0        f
363     0    0        f
364     0    0        f
365     0    0        f
366     0    0        f
367     0    0        f
368     0    0        f
369     0    0        f
370     0    0        f
371     0    0        f
372     0    0        f
373     0    0        f
374     0    0        f
375     0    0        f
376     0    0        f
377     0    0        f
378     0    0        f
379     0    0        f
380     0    0        f
381     0    0        f
382     0    0        f
383     0    0        f
384     0    0        f
385     0    0        f
386     0    0        f
387     0    0        f
388     0    0        f
389     0    0        f
390     0    0        f
391     0    0        f
392     0    0        f
393     0    0        f
394     0    0        f
395     0    0        f
396     0    0        f
397     0    0        f
398     0    0        f
399     0    0        f
400     0    0        f
401     0    0        f
402     0    0        f
403     0    0        f
404     0    0        f
405     0    0        r
406     0    0        r
407     0    0        f
408     -72    25        f
409     -141    49        f
410     -206    72        f
411     -270    93        f
412     -330    113        f
413     -387    134        f
414     -442    153        f
415     -494    172        f
416     -544    189        f
417     -592    206        f
418     -638    222        f
419     -681    237        f
420     -723    250        f
421     -762    265        f
422     -800    278        f
423     -836    291        f
424     -871    303        f
425     -903    315        f
426     -936    326        f
427     -966    336        f
428     -994    346        f
429     -1022    356        f
430     -1049    365        f
431     -1074    374        f
432     -1098    382        f
433     -1121    390        f
434     -1142    398        f
435     -1163    405        f
436     -1183    412        f
437     -1202    419        f
438     -1220    425        f
439     -1238    430        f
440     -1254    437        f
441     -1270    442        f
442     -1285    448        f
443     -1300    453        f
444     -1314    457        f
445     -1327    462        f
446     -1339    467        f
447     -1351    471        f
448     -1363    475        f
449     -1363    475        l
450     -1363    475        l
451     -1363    475        f
452     -1245    568        f
453     -1132    656        f
454     -1025    741        f
455     -922    822        f
456     -824    899        f
457     -731    973        f
458     -642    1043        f
459     -556    1111        f
460     -475    1175        f
461     -397    1236        f
462     -323    1295        f
463     -252    1351        f
464     -184    1405        f
465     -119    1456        f
466     -57    1505        f
467     0    1552        f
468     56    1596        f
469     110    1639        f
470     110    1639        r
471     110    1639        f
472     2    1673        f
473     -101    1705        f
474     -200    1738        f
475     -295    1768        f
476     -385    1796        f
477     -471    1823        f
478     -554    1850        f
479     -633    1875        f
480     -708    1898        f
481     -779    1921        f
482     -848    1943        f
483     -913    1964        f
484     -976    1984        f
485     -1036    2003        f
486     -1093    2021        f
487     -1147    2038        f
488     -1199    2054        f
489     -1248    2070        f
490     -1296    2085        f
491     -1341    2100        f
492     -1341    2100        r
493     -1341    2100        r
494     -1384    2113        f
495     -1384    2113        r
496     -1384    2113        r
497     -1425    2127        f
498     -1425    2127        r
499     -1425    2127        r
500     -1425    2127        r
501     -1425    2127        r
502     -1464    2139        f
503     -1464    2139        r
504     -1464    2139        r
505     -1464    2139        r
506     -1464    2139        r
507     -1502    2151        f
508     -1502    2151        r
509     -1502    2151        r
510     -1502    2151        r
511     -1502    2151        r
512     -1502    2151        r
513     -1502    2151        r
514     -1502    2151        f
515     -1547    2089        f
516     -1590    2030        f
517     -1630    1973        f
518     -1670    1920        f
519     -1707    1868        f
520     -1743    1819        f
521     -1777    1772        f
522     -1810    1727        f
523     -1841    1684        f
524     -1871    1643        f
525     -1898    1604        f
526     -1926    1567        f
527     -1952    1532        f
528     -1976    1498        f
529     -1976    1498        l
530     -1976    1498        f
531     -1913    1585        f
532     -1851    1668        f
533     -1793    1747        f
534     -1737    1823        f
535     -1684    1896        f
536     -1684    1896        r
537     -1684    1896        f
538     -1747    1852        f
539     -1807    1811        f
540     -1864    1771        f
541     -1920    1732        f
542     -1973    1697        f
543     -2023    1663        f
544     -2071    1630        f
545     -2116    1598        f
546     -2160    1568        f
547     -2160    1568        l
548     -2160    1568        f
549     -2121    1450        f
550     -2083    1337        f
551     -2048    1229        f
