step   ball_X    ball_Y    side
284     -1490    691        l
285     -1490    691        l
286     -1490    691        l
287     -1490    691        l
288     -1490    691        l
289     -1490    691        l
290     -1490    691        l
291     -1490    691        l
292     -1490    691        l
293     -1490    691        f
294     -1342    665        f
295     -1201    640        f
296     -1067    617        f
297     -938    594        f
298     -815    573        f
299     -697    552        f
300     -585    532        f
301     -478    514        f
302     -376    496        f
303     -278    479        f
304     -184    462        f
305     -95    447        f
306     -10    432        f
307     70    418        f
308     148    404        f
309     222    391        f
310     293    379        f
311     361    367        f
312     425    356        f
313     487    345        f
314     546    335        f
315     602    325        f
316     656    316        f
317     707    307        f
318     756    298        f
319     802    290        f
320     847    282        f
321     890    275        f
322     931    268        f
323     969    261        f
324     1007    254        f
325     1042    248        f
326     1076    242        f
327     1108    236        f
328     1139    231        f
329     1169    225        f
330     1197    221        f
331     1224    216        f
332     1250    212        f
333     1274    208        f
334     1298    202        f
335     1320    200        f
336     1341    196        f
337     1362    192        f
338     1381    189        f
339     1400    186        f
340     1418    183        f
341     1435    180        f
342     1451    177        f
343     1466    174        f
344     1481    171        f
345     1495    169        f
346     1509    167        f
347     1522    164        f
348     1534    162        f
349     1546    160        f
350     1557    158        f
351     1568    156        f
352     1578    155        f
353     1588    153        f
354     1597    151        f
355     1605    150        f
356     1614    148        f
357     1623    147        f
358     1630    145        f
359     1638    144        f
360     1645    143        f
361     1652    142        f
362     1657    140        f
363     1664    139        f
364     1670    138        f
365     1676    137        f
366     1680    136        f
367     1686    136        f
368     1691    135        f
369     1696    134        f
370     1700    133        f
371     1705    132        f
372     1709    132        f
373     1713    131        f
374     1716    130        f
375     1720    130        f
376     1723    129        f
377     1726    129        f
378     1730    128        f
379     1732    127        f
380     1735    127        f
381     1738    127        f
382     1741    126        f
383     1743    126        f
384     1745    125        f
385     1748    125        f
386     1750    124        f
387     1752    124        f
388     1754    124        f
389     1755    123        f
390     1757    123        f
391     1759    123        f
392     1761    123        f
393     1762    122        f
394     1764    122        f
395     1764    122        f
396     1766    122        f
397     1768    121        f
398     1769    121        f
399     1770    121        f
400     1771    121        f
401     1772    121        f
402     1773    120        f
403     1773    120        f
404     1775    120        f
405     1776    120        f
406     1777    120        f
407     1778    120        f
408     1779    119        f
409     1779    119        f
410     1780    119        f
411     1780    119        f
412     1780    119        f
413     1782    119        f
414     1782    119        f
415     1782    119        f
416     1784    119        f
417     1784    118        f
418     1785    118        f
419     1785    118        f
420     1786    118        f
421     1786    118        f
422     1786    118        f
423     1787    118        f
424     1787    118        f
425     1788    118        f
426     1788    118        f
427     1788    118        f
428     1789    118        f
429     1789    118        f
430     1789    118        f
431     1789    118        f
432     1789    118        f
433     1789    117        f
434     1789    117        f
435     1789    117        f
436     1791    117        f
437     1791    117        f
438     1791    117        f
439     1791    117        f
440     1791    117        f
441     1792    117        f
442     1792    117        f
443     1792    117        f
444     1792    117        f
445     1792    117        f
446     1792    117        f
447     1792    117        f
448     1792    117        f
449     1793    117        f
450     1793    117        f
451     1793    117        f
452     1793    117        f
453     1793    117        f
454     1793    117        f
455     1793    117        f
456     1793    117        f
457     1793    117        f
458     1793    117        f
459     1794    117        f
460     1794    117        f
461     1794    117        f
462     1794    117        f
463     1794    117        f
464     1794    117        f
465     1794    117        f
466     1794    117        f
467     1794    117        f
468     1794    117        f
469     1794    117        f
470     1794    117        f
471     1794    117        f
472     1794    117        f
473     1794    117        f
474     1794    117        f
475     1794    117        f
476     1794    117        f
477     1794    117        f
478     1794    117        f
479     1794    117        f
480     1794    117        f
481     1795    117        f
482     1795    117        f
483     1795    117        f
484     1795    117        f
485     1795    117        f
486     1795    117        f
487     1795    117        f
488     1795    117        f
489     1795    117        f
490     1795    117        f
491     1795    117        f
492     1795    117        f
493     1795    117        f
494     1795    117        f
495     1795    117        f
496     1795    117        f
497     1795    117        f
498     1795    117        f
499     1795    117        f
500     1795    117        f
501     1795    117        f
502     1795    117        f
503     1795    117        f
504     1795    117        f
505     1795    117        f
506     1795    117        f
507     1795    117        f
508     1795    117        f
509     1795    117        f
510     1795    117        f
511     1795    117        f
512     1795    117        f
513     1795    117        f
514     1795    117        f
515     1795    117        f
516     1795    117        f
517     1795    117        f
518     1795    117        f
519     1795    117        f
520     1795    117        f
521     1795    117        f
522     1795    117        f
523     1795    117        f
524     1795    117        f
525     1795    117        f
526     1795    117        f
527     1795    117        f
528     1795    117        f
529     1795    117        f
530     1795    117        f
531     1795    117        f
532     1795    117        f
533     1795    117        f
534     1795    117        f
535     1795    117        f
536     1795    117        f
537     1795    117        f
538     1795    117        f
539     1795    117        f
540     1795    117        f
541     1795    117        f
542     1795    117        f
543     1795    117        f
544     1795    117        r
545     1795    117        r
546     1795    117        r
547     1795    117        r
548     1795    117        r
549     1795    117        r
550     1795    117        r
551     1795    117        r
552     1795    117        r
553     1795    117        r
554     1795    117        r
555     1795    117        r
556     1795    117        r
557     1795    117        r
558     1795    117        r
559     1795    117        r
560     1795    117        r
561     1795    117        r
562     1795    117        r
563     1795    117        r
564     1795    117        r
565     1795    117        r
566     1795    117        r
567     1795    117        r
568     1795    117        r
569     1795    117        r
570     1795    117        r
571     1795    117        r
572     1795    117        r
573     1795    117        r
574     1795    117        r
575     1795    117        r
576     1795    117        r
577     1795    117        r
578     1795    117        r
579     1795    117        r
580     1795    117        f
581     1734    172        f
582     1675    224        f
583     1619    275        f
584     1566    323        f
585     1514    369        f
586     1466    412        f
587     1419    454        f
588     1375    494        f
589     1332    532        f
590     1292    569        f
591     1253    603        f
592     1216    637        f
593     1181    668        f
594     1147    699        f
595     1115    728        f
596     1084    755        f
597     1055    782        f
598     1027    807        f
599     1000    831        f
600     974    853        f
601     950    876        f
602     927    897        f
603     903    917        f
604     883    936        f
605     863    953        f
606     843    971        f
607     825    988        f
608     807    1003        f
609     790    1019        f
610     774    1033        f
611     759    1047        f
612     744    1060        f
613     730    1073        f
614     717    1085        f
615     704    1097        f
616     692    1108        f
617     680    1118        f
618     669    1128        f
619     658    1138        f
620     648    1147        f
621     639    1156        f
622     629    1164        f
623     621    1172        f
624     612    1179        f
625     604    1187        f
626     596    1194        f
627     589    1200        f
628     582    1207        f
629     575    1213        f
630     569    1218        f
631     563    1224        f
632     557    1229        f
633     551    1234        f
634     546    1239        f
635     541    1243        f
636     536    1248        f
637     531    1252        f
638     527    1256        f
639     523    1260        f
640     519    1263        f
641     515    1267        f
642     511    1270        f
643     508    1273        f
644     504    1276        f
645     501    1279        f
646     501    1279        r
647     501    1279        r
648     501    1279        r
649     501    1279        r
650     501    1279        r
651     501    1279        r
652     501    1279        r
653     501    1279        r
654     501    1279        r
655     501    1279        r
656     501    1279        r
657     501    1279        r
658     501    1279        r
659     501    1279        r
660     501    1279        r
661     501    1279        r
662     501    1279        r
663     501    1279        r
664     501    1279        r
665     501    1279        r
666     501    1279        r
667     501    1279        r
668     501    1279        r
669     501    1279        r
670     498    1282        f
671     495    1285        f
672     492    1287        f
673     490    1290        f
674     487    1292        f
675     484    1294        f
676     482    1296        f
677     480    1298        f
678     478    1300        f
679     476    1302        f
680     474    1304        f
681     472    1305        f
682     470    1307        f
683     469    1308        f
684     467    1310        f
685     465    1311        f
686     463    1312        f
687     463    1314        f
688     461    1315        f
689     459    1316        f
690     459    1317        f
691     458    1318        f
692     455    1319        f
693     455    1320        f
694     454    1321        f
695     453    1322        f
696     451    1323        f
697     451    1324        f
698     451    1324        f
699     450    1325        f
700     449    1326        f
701     448    1326        f
702     448    1327        f
703     447    1328        f
704     446    1328        f
705     446    1329        f
706     445    1329        f
707     445    1330        f
708     444    1330        f
709     444    1331        f
710     443    1331        f
711     443    1332        f
712     442    1332        f
713     442    1332        f
714     441    1333        f
715     441    1333        f
716     441    1333        f
717     440    1334        f
718     440    1334        f
719     440    1334        f
720     438    1335        f
721     438    1335        f
722     438    1335        f
723     438    1335        f
724     438    1335        f
725     438    1336        f
726     438    1336        f
727     438    1336        f
728     437    1336        f
729     437    1336        f
730     437    1337        f
731     437    1337        f
732     437    1337        f
733     436    1337        f
734     436    1337        f
735     436    1337        f
736     436    1338        f
737     436    1338        f
738     436    1338        f
739     436    1338        f
740     434    1338        f
741     434    1338        f
742     434    1338        f
743     434    1338        f
