step   ball_X    ball_Y    side
123     716    77        f
124     760    82        f
125     802    86        f
126     842    91        f
127     880    95        f
128     916    99        f
129     951    102        f
130     984    106        f
131     1015    109        f
132     1046    112        f
133     1074    115        f
134     1102    119        f
135     1128    122        f
136     1153    124        f
137     1177    127        f
138     1200    129        f
139     1222    132        f
140     1243    134        f
141     1263    136        f
142     1282    138        f
143     1300    140        f
144     1318    142        f
145     1334    144        f
146     1350    146        f
147     1365    147        f
148     1380    149        f
149     1394    150        f
150     1407    152        f
151     1419    153        f
152     1431    155        f
153     1443    156        f
154     1454    157        f
155     1464    158        f
156     1474    159        f
157     1484    160        f
158     1493    161        f
159     1502    162        f
160     1510    163        f
161     1518    164        f
162     1526    165        f
163     1533    166        f
164     1540    166        f
165     1540    166        r
166     1540    166        r
167     1540    166        f
168     1440    92        f
169     1344    21        f
170     1253    -46        f
171     1166    -111        f
172     1083    -173        f
173     1003    -231        f
174     927    -288        f
175     856    -342        f
176     786    -393        f
177     720    -442        f
178     657    -488        f
179     597    -534        f
180     539    -577        f
181     539    -577        r
182     539    -577        r
183     539    -577        f
184     474    -441        f
185     412    -312        f
186     353    -189        f
187     296    -71        f
188     242    41        f
189     190    148        f
190     141    250        f
191     94    349        f
192     49    443        f
193     7    532        f
194     -33    617        f
195     -72    699        f
196     -110    776        f
197     -146    851        f
198     -180    922        f
199     -212    989        f
200     -243    1054        f
201     -273    1116        f
202     -301    1175        f
203     -328    1231        f
204     -354    1285        f
205     -379    1336        f
206     -403    1386        f
207     -403    1386        r
208     -403    1386        f
209     -478    1370        f
210     -549    1355        f
211     -618    1341        f
212     -683    1328        f
213     -745    1315        f
214     -805    1303        f
215     -861    1291        f
216     -917    1280        f
217     -969    1269        f
218     -1018    1259        f
219     -1066    1249        f
220     -1111    1240        f
221     -1154    1231        f
222     -1196    1223        f
223     -1235    1215        f
224     -1273    1207        f
225     -1309    1200        f
226     -1343    1193        f
227     -1376    1186        f
228     -1407    1179        f
229     -1437    1173        f
230     -1466    1167        f
231     -1493    1162        f
232     -1519    1156        f
233     -1544    1151        f
234     -1568    1146        f
235     -1590    1142        f
236     -1612    1137        f
237     -1632    1133        f
238     -1652    1129        f
239     -1671    1125        f
240     -1689    1121        f
241     -1705    1118        f
242     -1723    1114        f
243     -1739    1111        f
244     -1753    1108        f
245     -1768    1105        f
246     -1780    1102        f
247     -1794    1099        f
248     -1807    1097        f
249     -1819    1094        f
250     -1830    1092        f
251     -1841    1090        f
252     -1851    1088        f
253     -1861    1086        f
254     -1871    1084        f
255     -1880    1082        f
256     -1888    1080        f
257     -1888    1080        l
258     -1888    1080        l
259     -1888    1080        f
260     -1839    942        f
261     -1792    809        f
262     -1747    683        f
263     -1704    562        f
264     -1664    447        f
265     -1623    337        f
266     -1587    231        f
267     -1551    132        f
268     -1517    36        f
269     -1485    -55        f
270     -1454    -143        f
271     -1424    -225        f
272     -1395    -306        f
273     -1368    -382        f
274     -1342    -455        f
275     -1318    -525        f
276     -1294    -591        f
277     -1271    -655        f
278     -1250    -715        f
279     -1229    -773        f
280     -1210    -827        f
281     -1191    -881        f
282     -1173    -931        f
283     -1156    -978        f
284     -1140    -1025        f
285     -1124    -1069        f
286     -1109    -1111        f
287     -1095    -1151        f
288     -1081    -1189        f
289     -1068    -1225        f
290     -1056    -1260        f
291     -1044    -1294        f
292     -1033    -1325        f
293     -1022    -1356        f
294     -1011    -1385        f
295     -1002    -1412        f
296     -992    -1439        f
297     -983    -1464        f
298     -975    -1488        f
299     -967    -1511        f
300     -959    -1533        f
301     -951    -1554        f
302     -944    -1574        f
303     -936    -1593        f
304     -931    -1611        f
305     -925    -1629        f
306     -919    -1646        f
307     -913    -1661        f
308     -908    -1677        f
309     -902    -1691        f
310     -898    -1705        f
311     -893    -1718        f
312     -888    -1730        f
313     -884    -1743        f
314     -880    -1754        f
315     -876    -1764        f
316     -872    -1776        f
317     -869    -1786        f
318     -865    -1795        f
319     -861    -1805        f
320     -859    -1813        f
321     -856    -1822        f
322     -852    -1830        f
323     -851    -1837        f
324     -848    -1844        f
325     -846    -1851        f
326     -846    -1851        l
327     -846    -1851        l
328     -846    -1851        f
329     -730    -1860        f
330     -620    -1869        f
331     -516    -1877        f
332     -415    -1884        f
333     -320    -1892        f
334     -227    -1898        f
335     -141    -1905        f
336     -56    -1912        f
337     21    -1918        f
338     97    -1923        f
339     170    -1929        f
340     239    -1934        f
341     306    -1939        f
342     369    -1944        f
343     429    -1948        f
344     487    -1953        f
345     487    -1953        l
346     487    -1953        f
347     539    -1885        f
348     588    -1820        f
349     635    -1757        f
350     680    -1698        f
351     723    -1642        f
352     765    -1588        f
353     803    -1537        f
354     841    -1487        f
355     877    -1440        f
356     911    -1396        f
357     944    -1353        f
358     975    -1312        f
359     1005    -1273        f
360     1033    -1235        f
