step   ball_X    ball_Y    side
235     136    -60        r
236     136    -60        r
237     136    -60        r
238     136    -60        r
239     136    -60        r
240     136    -60        r
241     136    -60        r
242     136    -60        f
243     60    -59        f
244     -12    -56        f
245     -82    -56        f
246     -149    -54        f
247     -212    -53        f
248     -273    -52        f
249     -331    -50        f
250     -387    -49        f
251     -440    -48        f
252     -490    -47        f
253     -539    -46        f
254     -585    -45        f
255     -629    -44        f
256     -671    -43        f
257     -711    -42        f
258     -750    -42        f
259     -787    -41        f
260     -822    -40        f
261     -855    -39        f
262     -886    -39        f
263     -918    -38        f
264     -947    -37        f
265     -975    -37        f
266     -1001    -36        f
267     -1027    -36        f
268     -1051    -35        f
269     -1074    -35        f
270     -1096    -34        f
271     -1117    -34        f
272     -1138    -33        f
273     -1157    -33        f
274     -1175    -33        f
275     -1193    -32        f
276     -1210    -32        f
277     -1226    -32        f
278     -1241    -31        f
279     -1256    -31        f
280     -1270    -31        f
281     -1283    -30        f
282     -1296    -30        f
283     -1308    -30        f
284     -1319    -30        f
285     -1331    -28        f
286     -1341    -28        f
287     -1351    -28        f
288     -1361    -28        f
289     -1370    -28        f
290     -1379    -28        f
291     -1387    -28        f
292     -1396    -28        f
293     -1403    -28        f
294     -1411    -28        f
295     -1418    -28        f
296     -1424    -27        f
297     -1431    -27        f
298     -1437    -27        f
299     -1443    -27        f
300     -1448    -27        f
301     -1453    -27        f
302     -1458    -27        f
303     -1463    -27        f
304     -1468    -27        f
305     -1472    -26        f
306     -1477    -26        f
307     -1481    -26        f
308     -1485    -26        f
309     -1488    -26        f
310     -1492    -26        f
311     -1495    -26        f
312     -1498    -26        f
313     -1501    -26        f
314     -1504    -26        f
315     -1507    -26        f
316     -1510    -26        f
317     -1510    -26        l
318     -1510    -26        l
319     -1510    -26        l
320     -1510    -26        l
321     -1510    -26        l
322     -1510    -26        l
323     -1510    -26        l
324     -1510    -26        l
325     -1510    -26        l
326     -1510    -26        l
327     -1510    -26        l
328     -1510    -26        l
329     -1510    -26        l
330     -1510    -26        l
331     -1510    -26        l
332     -1510    -26        l
333     -1510    -26        l
334     -1510    -26        l
335     -1510    -26        l
336     -1510    -26        l
337     -1510    -26        l
338     -1510    -26        l
339     -1510    -26        l
340     -1510    -26        l
341     -1510    -26        l
342     -1510    -26        l
343     -1510    -26        l
344     -1510    -26        l
345     -1510    -26        l
346     -1510    -26        l
347     -1510    -26        l
348     -1510    -26        l
349     -1510    -26        l
350     -1510    -26        l
351     -1510    -26        l
352     -1510    -26        l
353     -1510    -26        l
354     -1510    -26        l
355     -1510    -26        l
356     -1510    -26        l
357     -1510    -26        l
358     -1510    -26        l
359     -1510    -26        l
360     -1510    -26        l
361     -1510    -26        l
362     -1510    -26        l
363     -1510    -26        l
364     -1510    -26        l
365     -1510    -26        l
366     -1510    -26        l
367     -1510    -26        l
368     -1510    -26        l
369     -1510    -26        l
370     -1510    -26        l
371     -1510    -26        l
372     -1510    -26        l
373     -1510    -26        l
374     -1510    -26        l
375     -1510    -26        l
376     -1510    -26        l
377     -1510    -26        l
378     -1510    -26        l
379     -1510    -26        l
380     -1510    -26        l
381     -1510    -26        l
382     -1510    -26        l
383     -1510    -26        l
384     -1510    -26        l
385     -1510    -26        l
386     -1510    -26        l
387     -1510    -26        l
388     -1510    -26        l
389     -1510    -26        l
390     -1510    -26        l
391     -1510    -26        l
392     -1510    -26        l
393     -1510    -26        l
394     -1510    -26        l
395     -1510    -26        l
396     -1510    -26        l
397     -1510    -26        l
398     -1510    -26        l
399     -1510    -26        l
400     -1510    -26        l
401     -1510    -26        l
402     -1510    -26        l
403     -1510    -26        l
404     -1510    -26        l
