step   ball_X    ball_Y    side
335     1371    -35        f
336     1283    -16        f
337     1198    2        f
338     1118    20        f
339     1041    37        f
340     968    54        f
341     897    69        f
342     831    84        f
343     767    98        f
344     706    112        f
345     647    125        f
346     591    137        f
347     538    149        f
348     487    161        f
349     438    171        f
350     392    182        f
351     392    182        r
352     348    192        f
353     348    192        r
354     348    192        r
355     306    200        f
356     306    200        r
357     306    200        r
358     265    210        f
359     265    210        r
360     265    210        r
361     227    219        f
362     227    219        r
363     227    219        r
364     227    219        r
365     227    219        r
366     190    227        f
367     190    227        r
368     190    227        r
369     190    227        r
370     190    227        r
371     190    227        r
372     190    227        r
373     190    227        f
374     59    198        f
375     -64    171        f
376     -183    146        f
377     -297    121        f
378     -405    97        f
379     -509    75        f
380     -608    53        f
381     -702    33        f
382     -792    13        f
383     -878    -4        f
384     -961    -22        f
385     -1039    -39        f
386     -1115    -56        f
387     -1186    -71        f
388     -1255    -86        f
389     -1320    -100        f
390     -1383    -113        f
391     -1442    -127        f
392     -1499    -139        f
393     -1553    -151        f
394     -1605    -162        f
395     -1655    -173        f
396     -1702    -183        f
397     -1748    -193        f
398     -1791    -202        f
399     -1832    -212        f
400     -1872    -220        f
401     -1909    -227        f
402     -1945    -236        f
403     -1980    -244        f
404     -2013    -250        f
405     -2044    -258        f
406     -2074    -264        f
407     -2102    -270        f
408     -2130    -276        f
409     -2156    -282        f
410     -2181    -287        f
411     -2205    -293        f
412     -2227    -297        f
413     -2249    -302        f
414     -2270    -307        f
415     -2270    -307        l
416     -2270    -307        l
417     -2270    -307        f
418     -2163    -277        f
419     -2163    -277        r
420     -2163    -277        f
421     -2311    -252        f
422     -2453    -231        f
423     -2588    -210        f
424     -2717    -189        f
425     -2840    -170        f
426     -2958    -151        f
427     -3071    -133        f
428     -3178    -115        f
429     -3178    -115        l
430     -3178    -115        f
431     -3062    -22        f
432     -2951    68        f
433     -2844    154        f
434     -2743    236        f
435     -2646    315        f
436     -2554    390        f
437     -2465    462        f
438     -2381    531        f
439     -2300    596        f
440     -2223    659        f
441     -2150    719        f
442     -2079    776        f
443     -2012    831        f
444     -1948    883        f
445     -1887    933        f
446     -1829    980        f
447     -1773    1026        f
448     -1720    1069        f
449     -1669    1111        f
450     -1620    1150        f
451     -1574    1188        f
452     -1530    1224        f
453     -1487    1259        f
454     -1447    1292        f
455     -1408    1323        f
456     -1372    1353        f
457     -1336    1382        f
458     -1303    1410        f
459     -1271    1436        f
460     -1240    1461        f
461     -1211    1485        f
462     -1183    1508        f
463     -1156    1530        f
464     -1131    1551        f
465     -1106    1571        f
466     -1083    1590        f
467     -1061    1607        f
468     -1040    1626        f
469     -1019    1642        f
470     -1000    1657        f
471     -981    1673        f
472     -964    1688        f
473     -947    1701        f
474     -931    1714        f
475     -915    1727        f
476     -901    1739        f
477     -886    1751        f
478     -873    1762        f
479     -860    1772        f
480     -848    1782        f
481     -836    1791        f
