step   ball_X    ball_Y    side
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
0     0    0        f
1     0    0        f
2     0    0        f
3     0    0        f
4     0    0        f
5     0    0        f
6     0    0        f
7     0    0        f
8     0    0        f
9     0    0        f
10     0    0        f
11     0    0        f
12     0    0        f
13     0    0        f
14     0    0        f
15     0    0        f
16     0    0        f
17     0    0        f
18     0    0        f
19     0    0        f
20     0    0        f
21     0    0        f
22     0    0        f
23     0    0        f
24     0    0        f
25     0    0        f
26     0    0        f
27     0    0        f
28     0    0        f
29     0    0        f
30     0    0        f
31     0    0        f
32     0    0        f
33     0    0        f
34     0    0        f
35     0    0        f
36     0    0        f
37     0    0        f
38     0    0        f
39     0    0        f
40     0    0        f
41     0    0        f
42     0    0        f
43     0    0        f
44     0    0        f
45     0    0        f
46     0    0        f
47     0    0        f
48     0    0        f
49     0    0        f
50     0    0        f
51     0    0        f
52     0    0        f
53     0    0        f
54     0    0        f
55     0    0        f
56     0    0        f
57     0    0        f
58     0    0        f
59     0    0        f
60     0    0        f
61     0    0        f
62     0    0        f
63     0    0        f
64     0    0        f
65     0    0        f
66     0    0        f
67     0    0        f
68     0    0        f
69     0    0        f
70     0    0        f
71     0    0        f
72     0    0        f
73     0    0        f
74     0    0        f
75     0    0        f
76     0    0        f
77     0    0        f
78     0    0        f
79     0    0        f
80     0    0        f
81     0    0        f
82     0    0        f
83     0    0        f
84     0    0        f
85     0    0        f
86     0    0        f
87     0    0        f
88     0    0        f
89     0    0        f
90     0    0        f
91     0    0        f
92     0    0        f
93     0    0        f
94     0    0        f
95     0    0        f
96     0    0        f
97     0    0        f
98     0    0        f
99     0    0        f
100     0    0        f
101     0    0        f
102     0    0        f
103     0    0        f
104     0    0        f
105     0    0        l
106     0    0        l
107     0    0        l
108     0    0        l
109     0    0        l
110     0    0        l
111     0    0        f
112     76    -4        f
113     149    -8        f
114     218    -12        f
115     285    -15        f
116     348    -19        f
117     409    -22        f
118     467    -26        f
119     522    -28        f
120     575    -32        f
121     626    -34        f
122     674    -37        f
123     720    -40        f
124     764    -42        f
125     806    -44        f
126     846    -47        f
127     885    -49        f
128     921    -51        f
129     956    -53        f
130     990    -55        f
131     1022    -56        f
132     1052    -57        f
133     1081    -60        f
134     1109    -61        f
135     1135    -63        f
136     1161    -64        f
137     1185    -65        f
138     1208    -67        f
139     1230    -68        f
140     1251    -69        f
141     1271    -70        f
142     1291    -71        f
143     1309    -72        f
144     1327    -73        f
145     1343    -74        f
146     1359    -75        f
147     1375    -76        f
148     1389    -77        f
149     1403    -77        f
150     1417    -78        f
151     1429    -79        f
152     1441    -80        f
153     1453    -80        f
154     1464    -81        f
155     1475    -81        f
156     1485    -82        f
157     1494    -82        f
158     1504    -83        f
159     1513    -83        f
160     1521    -84        f
161     1529    -84        f
162     1537    -85        f
163     1544    -85        f
164     1551    -86        f
165     1558    -86        f
166     1564    -86        f
167     1570    -87        f
168     1576    -87        f
169     1582    -87        f
170     1587    -88        f
171     1592    -88        f
172     1597    -88        f
173     1601    -88        f
174     1605    -89        f
175     1605    -89        r
176     1605    -89        r
177     1605    -89        f
178     1474    -78        f
179     1349    -68        f
180     1229    -57        f
181     1114    -49        f
182     1005    -40        f
183     900    -31        f
184     800    -23        f
185     705    -15        f
186     614    -8        f
187     527    -1        f
188     443    5        f
189     364    11        f
190     288    17        f
191     216    23        f
192     147    28        f
193     81    34        f
194     18    39        f
195     -42    44        f
196     -99    49        f
197     -154    53        f
198     -206    57        f
199     -206    57        r
200     -206    57        f
201     -276    25        f
202     -276    25        l
203     -276    25        f
204     -179    -6        f
205     -86    -36        f
206     1    -65        f
207     86    -92        f
208     166    -119        f
209     243    -144        f
210     317    -168        f
211     387    -191        f
212     454    -213        f
213     518    -234        f
214     579    -254        f
215     637    -273        f
216     693    -291        f
217     746    -308        f
218     797    -325        f
219     844    -341        f
220     892    -356        f
221     936    -370        f
222     977    -384        f
223     1018    -397        f
224     1057    -409        f
225     1094    -422        f
226     1129    -434        f
227     1162    -445        f
228     1194    -455        f
229     1225    -465        f
230     1254    -475        f
231     1282    -484        f
232     1309    -492        f
233     1334    -501        f
234     1358    -509        f
235     1382    -516        f
236     1404    -524        f
237     1425    -530        f
238     1425    -530        r
239     1425    -530        r
240     1445    -537        f
241     1465    -543        f
242     1465    -543        r
243     1483    -549        f
244     1501    -555        f
245     1518    -561        f
246     1534    -566        f
247     1549    -571        f
248     1564    -576        f
249     1578    -580        f
