step   ball_X    ball_Y    side
319     -1312    1496        f
320     -1242    1469        f
321     -1175    1443        f
322     -1110    1419        f
323     -1049    1395        f
324     -990    1373        f
325     -934    1351        f
326     -881    1330        f
327     -830    1311        f
328     -781    1292        f
329     -734    1274        f
330     -690    1257        f
331     -647    1241        f
332     -607    1225        f
333     -568    1210        f
334     -531    1196        f
335     -496    1182        f
336     -462    1169        f
337     -430    1157        f
338     -399    1145        f
339     -369    1134        f
340     -341    1123        f
341     -314    1113        f
342     -289    1103        f
343     -264    1094        f
344     -241    1085        f
345     -219    1076        f
346     -197    1068        f
347     -177    1060        f
348     -157    1053        f
349     -139    1045        f
350     -121    1039        f
351     -104    1032        f
352     -88    1026        f
353     -73    1019        f
354     -57    1014        f
355     -44    1009        f
356     -30    1003        f
357     -18    999        f
358     -5    994        f
359     5    990        f
360     16    985        f
361     27    981        f
362     37    977        f
363     37    977        l
364     37    977        l
365     37    977        f
366     112    965        f
367     185    952        f
368     252    941        f
369     319    928        f
370     382    919        f
371     441    908        f
372     498    899        f
373     553    889        f
374     605    880        f
375     654    872        f
376     702    864        f
377     747    856        f
378     791    849        f
379     832    842        f
380     872    835        f
381     909    827        f
382     944    822        f
383     980    816        f
384     1013    811        f
385     1044    805        f
386     1074    800        f
387     1103    795        f
388     1130    791        f
389     1156    786        f
390     1181    782        f
391     1205    778        f
392     1227    774        f
393     1249    770        f
394     1270    767        f
395     1290    763        f
396     1308    760        f
397     1326    757        f
398     1344    754        f
399     1360    751        f
400     1376    748        f
401     1391    746        f
402     1405    743        f
403     1419    741        f
404     1419    741        r
405     1419    741        r
406     1419    741        f
407     1297    722        f
408     1181    705        f
409     1070    688        f
410     964    671        f
411     863    656        f
412     767    641        f
413     674    627        f
414     586    613        f
415     501    601        f
416     421    588        f
417     345    576        f
418     271    565        f
419     200    554        f
420     134    544        f
421     70    534        f
422     9    525        f
423     -48    516        f
424     -104    508        f
425     -157    499        f
426     -208    492        f
427     -208    492        r
428     -208    492        r
429     -257    484        f
430     -257    484        r
431     -257    484        r
432     -303    476        f
433     -303    476        r
434     -303    476        r
435     -347    470        f
436     -347    470        r
437     -347    470        r
438     -347    470        f
439     -423    462        f
440     -496    454        f
441     -565    446        f
442     -631    438        f
443     -695    432        f
444     -755    426        f
445     -813    419        f
446     -868    413        f
447     -919    408        f
448     -971    401        f
449     -1019    397        f
450     -1064    392        f
451     -1108    387        f
452     -1150    383        f
453     -1190    378        f
454     -1228    374        f
455     -1265    370        f
456     -1299    366        f
457     -1333    363        f
458     -1364    359        f
459     -1395    356        f
460     -1424    353        f
461     -1451    350        f
462     -1478    347        f
463     -1503    344        f
464     -1527    341        f
465     -1550    339        f
466     -1572    336        f
467     -1593    334        f
468     -1613    332        f
469     -1632    330        f
470     -1650    328        f
471     -1668    326        f
472     -1684    324        f
473     -1700    322        f
474     -1714    321        f
475     -1730    319        f
476     -1744    318        f
477     -1757    316        f
478     -1770    315        f
479     -1782    313        f
480     -1793    312        f
481     -1804    311        f
482     -1814    310        f
483     -1825    309        f
484     -1834    308        f
485     -1843    307        f
486     -1852    306        f
487     -1860    305        f
488     -1868    304        f
489     -1876    303        f
490     -1882    302        f
491     -1889    302        f
492     -1897    301        f
493     -1903    300        f
494     -1909    299        f
495     -1914    299        f
496     -1920    298        f
497     -1926    298        f
498     -1926    298        r
499     -1926    298        r
500     -1926    298        f
501     -2001    286        f
502     -2074    275        f
503     -2143    264        f
504     -2209    254        f
505     -2272    245        f
506     -2332    236        f
507     -2389    227        f
508     -2444    218        f
509     -2497    210        f
510     -2547    202        f
511     -2595    196        f
512     -2640    189        f
513     -2684    182        f
514     -2726    176        f
515     -2766    170        f
516     -2804    164        f
517     -2840    158        f
518     -2875    153        f
